ENSEMBL75 id,LncRNA name,Nearest coding gene
NA,NA,ENSG00000074800
NA,NA,ENSG00000074800
ENSG00000230679,ENO1-AS1,ENSG00000074800
NA,NA,ENSG00000180758
ENSG00000234546,RP3-510D11.2,ENSG00000049239
ENSG00000223989,RP11-84A14.5,ENSG00000178585
NA,NA,ENSG00000178585
NA,NA,ENSG00000178585
NA,NA,ENSG00000178585
NA,NA,ENSG00000162441
ENSG00000272078,RP4-734G22.3,ENSG00000130940
ENSG00000226849,RP4-635E18.7,ENSG00000171824
ENSG00000230337,RP4-635E18.6,ENSG00000171824
NA,NA,ENSG00000120942
NA,NA,ENSG00000120942
NA,NA,ENSG00000204624
NA,NA,ENSG00000204624
ENSG00000235643,RP1-69M21.2,ENSG00000116661
NA,NA,ENSG00000116670
NA,NA,ENSG00000116685
NA,NA,ENSG00000116685
ENSG00000199347,RNU5E-1,ENSG00000116685
NA,NA,ENSG00000116688
ENSG00000229484,RP5-888M10.2,ENSG00000048707
NA,NA,ENSG00000162496
NA,NA,ENSG00000204513
NA,NA,ENSG00000162494
ENSG00000259961,RP4-597A16.2,ENSG00000162494
NA,NA,ENSG00000162493
NA,NA,ENSG00000162493
NA,NA,ENSG00000132906
NA,NA,ENSG00000162458
NA,NA,ENSG00000186510
ENSG00000227959,RP11-276H7.2,ENSG00000142627
NA,NA,ENSG00000142632
NA,NA,ENSG00000132881
NA,NA,ENSG00000187144
NA,NA,ENSG00000187144
NA,NA,ENSG00000157191
NA,NA,ENSG00000268674
ENSG00000261135|ENSG00000224174,RP4-798A10.7|RP4-798A10.4,ENSG00000268674
NA,NA,ENSG00000268674
NA,NA,ENSG00000219481
ENSG00000271732,RP5-1182A14.5,ENSG00000219481
NA,NA,ENSG00000237847
NA,NA,ENSG00000268991
NA,NA,ENSG00000117115
NA,NA,ENSG00000117115
ENSG00000204362,RP11-380J14.1,ENSG00000142623
ENSG00000227751,RP1-20B21.4,ENSG00000179051
NA,NA,ENSG00000179051
ENSG00000236648,RP11-473A10.2,ENSG00000074964
NA,NA,ENSG00000117154
NA,NA,ENSG00000117154
ENSG00000225387,RP11-422P22.1,ENSG00000117154
NA,NA,ENSG00000179023
NA,NA,ENSG00000179023
NA,NA,ENSG00000179023
NA,NA,ENSG00000009709
NA,NA,ENSG00000169991
NA,NA,ENSG00000169991
NA,NA,ENSG00000127481
NA,NA,ENSG00000127481
NA,NA,ENSG00000127463
ENSG00000230424,RP1-43E13.2,ENSG00000127463
ENSG00000270728,RP4-657E11.10,ENSG00000053371
NA,NA,ENSG00000077549
NA,NA,ENSG00000077549
NA,NA,ENSG00000077549
NA,NA,ENSG00000270136
ENSG00000235434,RP11-91K11.2,ENSG00000178828
ENSG00000227066,RP3-340N1.2,ENSG00000187980
NA,NA,ENSG00000162543
ENSG00000228105,RP3-340N1.6,ENSG00000158816
NA,NA,ENSG00000158816
NA,NA,ENSG00000158816
NA,NA,ENSG00000162545
ENSG00000233069,RP5-930J4.2,ENSG00000189410
NA,NA,ENSG00000127483
ENSG00000203394,RP5-930J4.4,ENSG00000127483
NA,NA,ENSG00000075151
NA,NA,ENSG00000075151
NA,NA,ENSG00000075151
NA,NA,ENSG00000075151
ENSG00000231105,RP5-1071N3.1,ENSG00000117298
NA,NA,ENSG00000142794
ENSG00000233431,RP11-63N8.3,ENSG00000076864
NA,NA,ENSG00000076864
NA,NA,ENSG00000076864
NA,NA,ENSG00000142798
NA,NA,ENSG00000142798
ENSG00000218510,LINC00339,ENSG00000142789
ENSG00000218510,LINC00339,ENSG00000142789
NA,NA,ENSG00000162552
NA,NA,ENSG00000162552
NA,NA,ENSG00000162552
NA,NA,ENSG00000162552
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,ENSG00000173369
NA,NA,ENSG00000169641
NA,NA,ENSG00000169641
NA,NA,ENSG00000204219
NA,NA,ENSG00000007968
NA,NA,ENSG00000007968
NA,NA,ENSG00000007968
NA,NA,ENSG00000117318
NA,NA,ENSG00000117305
NA,NA,ENSG00000117305
NA,NA,ENSG00000179163
NA,NA,ENSG00000188822
ENSG00000225315|ENSG00000230703,RP11-293P20.2|RP11-293P20.4,ENSG00000142661
NA,NA,ENSG00000142661
NA,NA,ENSG00000185436
ENSG00000230023,RP11-10N16.2,ENSG00000185436
ENSG00000230023,RP11-10N16.2,ENSG00000185436
NA,NA,ENSG00000133226
NA,NA,ENSG00000169504
ENSG00000229162,RP11-84D1.1,ENSG00000020633
NA,NA,ENSG00000020633
NA,NA,ENSG00000117614
ENSG00000231953,RP4-706G24.1,ENSG00000117614
NA,NA,ENSG00000117614
NA,NA,ENSG00000117616
NA,NA,ENSG00000117632
NA,NA,ENSG00000117632
NA,NA,ENSG00000158014
ENSG00000236155,RP11-231P20.2,ENSG00000188782
ENSG00000236155,RP11-231P20.2,ENSG00000130695
NA,NA,ENSG00000158062
NA,NA,ENSG00000176092
NA,NA,ENSG00000176083
NA,NA,ENSG00000117713
NA,NA,ENSG00000090020
NA,NA,ENSG00000090020
NA,NA,ENSG00000090020
NA,NA,ENSG00000090020
NA,NA,ENSG00000158195
ENSG00000237429,RP1-159A19.4,ENSG00000126705
NA,NA,ENSG00000126705
NA,NA,ENSG00000126709
NA,NA,ENSG00000158161
NA,NA,ENSG00000158161
ENSG00000229388|ENSG00000270103,RP11-442N24__B.1|RNU11,ENSG00000120656
NA,NA,ENSG00000253304
NA,NA,ENSG00000253304
ENSG00000227637,RP11-242O24.5,ENSG00000116350
NA,NA,ENSG00000116353
ENSG00000237934,RP11-467D18.2,ENSG00000116353
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
ENSG00000186056,MATN1-AS1,ENSG00000162511
NA,NA,ENSG00000162511
ENSG00000223382,RP1-65J11.1,ENSG00000162512
NA,NA,ENSG00000162512
NA,NA,ENSG00000162512
NA,NA,ENSG00000134644
NA,NA,ENSG00000134644
NA,NA,ENSG00000084628
NA,NA,ENSG00000084628
NA,NA,ENSG00000084628
NA,NA,ENSG00000121769
NA,NA,ENSG00000168528
ENSG00000228682,RP11-439L8.3,ENSG00000168528
ENSG00000223907,RP11-439L8.4,ENSG00000142910
NA,NA,ENSG00000142910
ENSG00000235790|ENSG00000264078,RP11-73M7.6|RP11-73M7.9,ENSG00000162517
NA,NA,ENSG00000084636
NA,NA,ENSG00000084636
NA,NA,ENSG00000121753
NA,NA,ENSG00000175130
NA,NA,ENSG00000160058
NA,NA,ENSG00000162520
NA,NA,ENSG00000160097
NA,NA,ENSG00000160097
NA,NA,ENSG00000160097
NA,NA,ENSG00000121900
NA,NA,ENSG00000116514
NA,NA,ENSG00000116514
ENSG00000239670|ENSG00000236065,RP4-803A2.2|RP1-117O3.2,ENSG00000004455
NA,NA,ENSG00000004455
NA,NA,ENSG00000134686
ENSG00000225313,RP11-415J8.3,ENSG00000184389
ENSG00000233246,RP11-415J8.5,ENSG00000134686
NA,NA,ENSG00000134686
NA,NA,ENSG00000121904
ENSG00000231163,RP5-1007G16.1,ENSG00000121904
ENSG00000231163,RP5-1007G16.1,ENSG00000121904
NA,NA,ENSG00000121904
NA,NA,ENSG00000121904
NA,NA,ENSG00000142698
NA,NA,ENSG00000142698
NA,NA,NA
NA,NA,NA
NA,NA,ENSG00000116544
NA,NA,ENSG00000271741
NA,NA,ENSG00000271741
NA,NA,ENSG00000197056
NA,NA,ENSG00000116560
NA,NA,ENSG00000142687
NA,NA,ENSG00000126067
NA,NA,ENSG00000126067
NA,NA,ENSG00000092853
NA,NA,ENSG00000092853
NA,NA,ENSG00000116871
NA,NA,ENSG00000196182
NA,NA,ENSG00000196182
NA,NA,ENSG00000116885
NA,NA,ENSG00000119535
ENSG00000234481,RP4-614N24.1,ENSG00000163873
NA,NA,ENSG00000163873
NA,NA,ENSG00000163873
NA,NA,ENSG00000163875
NA,NA,ENSG00000163875
NA,NA,ENSG00000163877
NA,NA,ENSG00000163877
NA,NA,ENSG00000134697
NA,NA,ENSG00000169218
NA,NA,ENSG00000188786
NA,NA,ENSG00000204084
NA,NA,ENSG00000204084
ENSG00000224592,RP5-884C9.2,ENSG00000185668
NA,NA,ENSG00000185668
NA,NA,NA
NA,NA,NA
NA,NA,NA
ENSG00000238063,RP11-329N22.1,NA
NA,NA,NA
ENSG00000228436,RP5-864K19.4,ENSG00000158315
NA,NA,ENSG00000168653
ENSG00000228060,RP11-69E11.8,ENSG00000090621
NA,NA,ENSG00000116985
NA,NA,ENSG00000116985
NA,NA,ENSG00000043514
ENSG00000236546,RP1-118J21.5,ENSG00000116990
NA,NA,ENSG00000049089
NA,NA,ENSG00000117016
ENSG00000229528,RP5-1066H13.4,ENSG00000179862
ENSG00000229528,RP5-1066H13.4,ENSG00000179862
NA,NA,ENSG00000179862
NA,NA,ENSG00000010803
NA,NA,ENSG00000010803
NA,NA,ENSG00000010803
ENSG00000235358,RP11-399E6.1,ENSG00000010803
NA,NA,ENSG00000204060
NA,NA,ENSG00000127129
NA,NA,ENSG00000127124
NA,NA,ENSG00000127124
NA,NA,ENSG00000198815
NA,NA,ENSG00000164007
ENSG00000227533,SLC2A1-AS1,ENSG00000117394
NA,NA,ENSG00000117394
NA,NA,ENSG00000117394
NA,NA,ENSG00000253313
NA,NA,ENSG00000159479
ENSG00000229431,RP1-92O14.6,ENSG00000159479
NA,NA,ENSG00000142949
NA,NA,ENSG00000142949
ENSG00000230615,RP5-1198O20.4,ENSG00000196517
ENSG00000230615,RP5-1198O20.4,ENSG00000196517
ENSG00000230615,RP5-1198O20.4,ENSG00000171872
NA,NA,ENSG00000070785
NA,NA,ENSG00000162415
NA,NA,ENSG00000162415
NA,NA,ENSG00000162415
NA,NA,ENSG00000236624
NA,NA,ENSG00000197429
ENSG00000227857,RP4-533D7.5,ENSG00000117461
NA,NA,ENSG00000085999
NA,NA,ENSG00000197587
ENSG00000269956,MKNK1-AS1,ENSG00000079277
ENSG00000228237,EFCAB14-AS1,ENSG00000159658
ENSG00000224805,LINC00853,ENSG00000162366
ENSG00000226252,RP1-18D14.7,ENSG00000162367
NA,NA,ENSG00000123473
ENSG00000227947,RP11-543D5.1,ENSG00000269113
NA,NA,ENSG00000269113
NA,NA,ENSG00000269113
ENSG00000226133,RP4-683M8.2,ENSG00000269709
ENSG00000226133,RP4-683M8.2,ENSG00000269709
NA,NA,ENSG00000269709
NA,NA,ENSG00000117834
NA,NA,ENSG00000132122
NA,NA,ENSG00000132122
NA,NA,ENSG00000186094
NA,NA,ENSG00000186094
NA,NA,ENSG00000162373
ENSG00000229846,RP11-141A19.1,ENSG00000186094
ENSG00000230114,RP11-141A19.2,ENSG00000186094
NA,NA,ENSG00000186094
NA,NA,ENSG00000186094
NA,NA,ENSG00000186094
NA,NA,ENSG00000186094
NA,NA,ENSG00000162374
NA,NA,ENSG00000162374
NA,NA,ENSG00000142700
NA,NA,ENSG00000142700
NA,NA,ENSG00000142700
ENSG00000225767,RP5-850O15.3,ENSG00000185104
ENSG00000225767,RP5-850O15.3,ENSG00000185104
NA,NA,ENSG00000185104
NA,NA,ENSG00000123080
NA,NA,ENSG00000204006
NA,NA,ENSG00000085831
NA,NA,ENSG00000085831
NA,NA,ENSG00000085831
ENSG00000266993,RP4-657D16.3,ENSG00000078618
ENSG00000223390|ENSG00000228369,RP11-91A18.4|TXNDC12-AS1,ENSG00000117862
NA,NA,ENSG00000157077
NA,NA,ENSG00000134744
NA,NA,ENSG00000134744
NA,NA,ENSG00000134744
NA,NA,ENSG00000134744
NA,NA,ENSG00000134744
ENSG00000236290,EEF1GP7,ENSG00000134744
NA,NA,ENSG00000116157
NA,NA,ENSG00000162377
ENSG00000235563,RP11-334A14.8,ENSG00000162383
NA,NA,ENSG00000157184
NA,NA,ENSG00000162385
ENSG00000226754,RP5-1024G6.5,ENSG00000157193
ENSG00000234578,RP4-784A16.1,ENSG00000157193
ENSG00000228838,RP4-784A16.2,ENSG00000157193
ENSG00000225675,RP4-784A16.5,ENSG00000157193
NA,NA,ENSG00000143006
NA,NA,ENSG00000143006
NA,NA,ENSG00000143006
NA,NA,ENSG00000174332
NA,NA,ENSG00000081870
NA,NA,ENSG00000081870
NA,NA,ENSG00000081870
NA,NA,ENSG00000116209
NA,NA,ENSG00000157216
ENSG00000232245,RP4-705F19.1,ENSG00000157216
NA,NA,ENSG00000162390
ENSG00000237453,RP11-67L3.2,ENSG00000006555
NA,NA,ENSG00000006555
NA,NA,ENSG00000116133
NA,NA,ENSG00000116133
ENSG00000242396|ENSG00000233203,RP11-67L3.5|RP11-67L3.4,ENSG00000116133
NA,NA,ENSG00000162399
ENSG00000234810|ENSG00000233147,RP11-466L17.1|RP11-90C4.1,NA
ENSG00000234810,RP11-466L17.1,NA
NA,NA,NA
ENSG00000233079,RP11-90C4.3,NA
NA,NA,NA
NA,NA,NA
ENSG00000235612,RP1-158P9.1,NA
ENSG00000223956,RP4-710M16.2,ENSG00000162407
NA,NA,ENSG00000187889
ENSG00000236341,RP5-1103B4.3,ENSG00000021852
ENSG00000236341,RP5-1103B4.3,ENSG00000173406
NA,NA,ENSG00000173406
ENSG00000226759,DAB1-AS1,ENSG00000173406
NA,NA,ENSG00000173406
NA,NA,ENSG00000173406
NA,NA,ENSG00000173406
NA,NA,ENSG00000173406
NA,NA,ENSG00000173406
NA,NA,ENSG00000173406
NA,NA,ENSG00000173406
NA,NA,ENSG00000184292
NA,NA,ENSG00000162601
NA,NA,ENSG00000162601
NA,NA,ENSG00000177606
ENSG00000234807,LINC01135,ENSG00000177606
ENSG00000230812|ENSG00000237352,RP4-794H19.4|RP11-145M4.3,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,ENSG00000134716
NA,NA,ENSG00000162598
NA,NA,ENSG00000162598
ENSG00000238242,RP11-575B7.3,ENSG00000162598
NA,NA,NA
NA,NA,ENSG00000132849
NA,NA,ENSG00000162607
NA,NA,ENSG00000125703
NA,NA,NA
NA,NA,NA
NA,NA,ENSG00000142856
NA,NA,ENSG00000185483
NA,NA,ENSG00000185483
NA,NA,ENSG00000158966
NA,NA,ENSG00000162434
NA,NA,ENSG00000184588
NA,NA,ENSG00000118473
NA,NA,ENSG00000116704
NA,NA,ENSG00000081985
NA,NA,ENSG00000116717
NA,NA,ENSG00000116717
ENSG00000232284,GNG12-AS1,ENSG00000116729
ENSG00000232284,GNG12-AS1,ENSG00000116729
ENSG00000232284,GNG12-AS1,ENSG00000116729
NA,NA,ENSG00000024526
ENSG00000234264,RP4-694A7.4,ENSG00000024526
NA,NA,NA
NA,NA,NA
ENSG00000223883,RP11-424D14.1,NA
NA,NA,NA
NA,NA,NA
ENSG00000229639,RP3-380B4.1,NA
NA,NA,ENSG00000033122
NA,NA,ENSG00000116761
ENSG00000229051,RP5-952N6.1,ENSG00000050628
ENSG00000229051,RP5-952N6.1,NA
NA,NA,NA
NA,NA,ENSG00000050628
ENSG00000235079,ZRANB2-AS1,ENSG00000132485
ENSG00000229956|ENSG00000237726,ZRANB2-AS2|RP11-386O9.2,ENSG00000172260
NA,NA,ENSG00000172260
NA,NA,NA
ENSG00000227016,RP11-262K1.1,NA
NA,NA,NA
ENSG00000233973,RP4-598G3.1,NA
ENSG00000223479,RP4-788P17.1,NA
NA,NA,ENSG00000162620
ENSG00000234497,RP4-612J11.1,ENSG00000178965
NA,NA,ENSG00000178965
NA,NA,ENSG00000137968
NA,NA,ENSG00000137968
NA,NA,ENSG00000154007
ENSG00000225605,RP11-550H2.1,ENSG00000154007
NA,NA,ENSG00000142892
NA,NA,ENSG00000077254
NA,NA,ENSG00000077254
NA,NA,ENSG00000162613
ENSG00000237413,RP11-183M13.1,ENSG00000122420
ENSG00000237413,RP11-183M13.1,ENSG00000122420
NA,NA,ENSG00000137965
NA,NA,ENSG00000162618
NA,NA,ENSG00000162618
NA,NA,ENSG00000162618
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
ENSG00000234184,RP5-887A10.1,NA
NA,NA,NA
NA,NA,ENSG00000117114
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
ENSG00000230817,RP4-601K24.1,NA
ENSG00000230817,RP4-601K24.1,NA
ENSG00000230817,RP4-601K24.1,NA
NA,NA,NA
ENSG00000231364,RP11-413G15.1,NA
NA,NA,NA
NA,NA,NA
NA,NA,ENSG00000137941
NA,NA,ENSG00000137941
NA,NA,ENSG00000117151
NA,NA,ENSG00000180869
NA,NA,ENSG00000180869
NA,NA,ENSG00000117155
NA,NA,ENSG00000171517
NA,NA,ENSG00000153898
NA,NA,ENSG00000097096
NA,NA,ENSG00000162642
ENSG00000223653,RP11-131L23.1,ENSG00000142867
ENSG00000223653,RP11-131L23.1,ENSG00000153904
NA,NA,ENSG00000153904
NA,NA,ENSG00000142871
NA,NA,ENSG00000117174
NA,NA,ENSG00000171502
NA,NA,ENSG00000171502
NA,NA,ENSG00000171502
NA,NA,ENSG00000122417
NA,NA,ENSG00000097033
NA,NA,ENSG00000143013
NA,NA,ENSG00000143013
NA,NA,ENSG00000143013
NA,NA,ENSG00000143013
NA,NA,ENSG00000143013
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,ENSG00000065243
NA,NA,ENSG00000065243
NA,NA,ENSG00000137947
NA,NA,ENSG00000213516
NA,NA,ENSG00000213516
NA,NA,ENSG00000117228
NA,NA,ENSG00000117226
NA,NA,ENSG00000117226
NA,NA,ENSG00000117228
NA,NA,ENSG00000117228
NA,NA,ENSG00000117228
NA,NA,ENSG00000162645
NA,NA,ENSG00000162654
NA,NA,ENSG00000162654
NA,NA,ENSG00000162654
ENSG00000230735,RP11-413E1.4,ENSG00000171488
NA,NA,ENSG00000171492
NA,NA,ENSG00000162664
NA,NA,ENSG00000162664
NA,NA,NA
NA,NA,ENSG00000143032
NA,NA,ENSG00000143032
ENSG00000225446,RP4-665J23.2,ENSG00000122482
NA,NA,ENSG00000162669
NA,NA,ENSG00000097046
NA,NA,ENSG00000097046
NA,NA,ENSG00000097046
ENSG00000203914,HSP90B3P,ENSG00000069702
NA,NA,ENSG00000069702
NA,NA,ENSG00000069702
NA,NA,ENSG00000069702
NA,NA,ENSG00000069702
NA,NA,ENSG00000154511
NA,NA,ENSG00000143033
NA,NA,ENSG00000117505
NA,NA,ENSG00000117505
NA,NA,ENSG00000137936
ENSG00000224093,RP5-1033H22.2,ENSG00000137936
ENSG00000260464,RP4-561L24.3,ENSG00000137936
NA,NA,ENSG00000067334
NA,NA,ENSG00000023909
NA,NA,ENSG00000023909
NA,NA,ENSG00000198691
NA,NA,ENSG00000198691
NA,NA,ENSG00000198691
NA,NA,ENSG00000198691
NA,NA,ENSG00000198691
ENSG00000231363|ENSG00000226835,RP11-148B18.1|RP11-148B18.3,ENSG00000137962
NA,NA,ENSG00000117528
NA,NA,ENSG00000117525
NA,NA,ENSG00000143036
ENSG00000235501,RP4-639F20.1,ENSG00000117519
NA,NA,ENSG00000172339
NA,NA,ENSG00000172339
NA,NA,ENSG00000122481
NA,NA,ENSG00000271092
NA,NA,NA
ENSG00000228971,RP11-286B14.1,NA
ENSG00000228971,RP11-286B14.1,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,ENSG00000237435
NA,NA,ENSG00000237435
NA,NA,ENSG00000237435
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,ENSG00000117569
NA,NA,NA
ENSG00000232878,DPYD-AS1,ENSG00000188641
NA,NA,ENSG00000188641
ENSG00000232878,DPYD-AS1,ENSG00000188641
NA,NA,ENSG00000188641
ENSG00000235777,DPYD-AS2,ENSG00000188641
NA,NA,NA
ENSG00000226053,RP5-1070A16.1,NA
NA,NA,NA
NA,NA,NA
ENSG00000232825,RP5-896L10.1,NA
NA,NA,ENSG00000117600
NA,NA,ENSG00000099260
NA,NA,ENSG00000156876
NA,NA,ENSG00000137992
NA,NA,ENSG00000079335
NA,NA,ENSG00000181656
NA,NA,ENSG00000162692
ENSG00000235795,RP11-421L21.2,ENSG00000117543
ENSG00000233184,RP11-421L21.3,ENSG00000117543
NA,NA,ENSG00000170989
NA,NA,NA
ENSG00000226715,RP11-411H5.1,ENSG00000118733
NA,NA,ENSG00000118733
ENSG00000162699,DNAJA1P5,ENSG00000118733
NA,NA,NA
NA,NA,ENSG00000060718
NA,NA,ENSG00000060718
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
ENSG00000237480,RP5-947P14.1,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
ENSG00000237460,RP11-233E12.1,NA
NA,NA,ENSG00000134215
NA,NA,ENSG00000134215
NA,NA,ENSG00000134215
ENSG00000230489,VAV3-AS1,ENSG00000134215
ENSG00000230489,VAV3-AS1,ENSG00000134215
ENSG00000226822,RP11-356N1.2,ENSG00000085491
NA,NA,ENSG00000162639
ENSG00000203897,SPATA42,ENSG00000162641
NA,NA,ENSG00000085433
NA,NA,ENSG00000134222
NA,NA,ENSG00000134243
NA,NA,ENSG00000143106
NA,NA,ENSG00000186150
NA,NA,ENSG00000197106
NA,NA,ENSG00000143125
NA,NA,ENSG00000143105
ENSG00000273010,RP11-96K19.5,ENSG00000121931
NA,NA,ENSG00000156171
ENSG00000236040,CHIAP1,ENSG00000064886
NA,NA,ENSG00000085465
ENSG00000227811,FAM212B-AS1,ENSG00000197852
NA,NA,ENSG00000171385
NA,NA,ENSG00000171385
NA,NA,ENSG00000171385
ENSG00000237556,KCND3-AS1,ENSG00000171385
ENSG00000231437,RP11-88H9.2,ENSG00000171385
NA,NA,ENSG00000171385
NA,NA,ENSG00000155366
ENSG00000261595,RP11-426L16.9,ENSG00000155367
ENSG00000224167,RP3-522D1.1,ENSG00000155380
NA,NA,ENSG00000155380
ENSG00000226419,SLC16A1-AS1,ENSG00000155380
ENSG00000226419|ENSG00000236066,SLC16A1-AS1|RP11-389O22.1,ENSG00000155380
NA,NA,ENSG00000188761
NA,NA,ENSG00000188761
NA,NA,ENSG00000116774
NA,NA,ENSG00000197323
NA,NA,ENSG00000116752
NA,NA,ENSG00000175984
NA,NA,ENSG00000175984
NA,NA,ENSG00000009307
NA,NA,ENSG00000009307
ENSG00000233730,RP4-666F24.3,ENSG00000134198
NA,NA,ENSG00000134198
NA,NA,ENSG00000134259
NA,NA,ENSG00000134259
NA,NA,ENSG00000134259
NA,NA,NA
NA,NA,ENSG00000118729
NA,NA,ENSG00000118729
NA,NA,ENSG00000163393
ENSG00000228127,RP11-12L8.1,ENSG00000163393
NA,NA,ENSG00000173212
NA,NA,ENSG00000173212
NA,NA,ENSG00000163399
NA,NA,ENSG00000116815
NA,NA,ENSG00000116815
NA,NA,ENSG00000116815
NA,NA,ENSG00000143061
ENSG00000235202,RP11-39H13.1,ENSG00000198162
NA,NA,ENSG00000183508
NA,NA,ENSG00000183508
NA,NA,ENSG00000196505
NA,NA,ENSG00000155761
NA,NA,ENSG00000092607
NA,NA,ENSG00000092607
NA,NA,ENSG00000116874
ENSG00000231365,RP11-418J17.1,ENSG00000116874
ENSG00000231365,RP11-418J17.1,ENSG00000116882
NA,NA,ENSG00000116882
ENSG00000232650,RP5-834N19.1,ENSG00000116882
NA,NA,ENSG00000203857
NA,NA,ENSG00000143067
NA,NA,ENSG00000143067
ENSG00000198857,HSD3BP5,ENSG00000143067
NA,NA,ENSG00000143067
NA,NA,ENSG00000134240
NA,NA,ENSG00000134193
NA,NA,ENSG00000134249
NA,NA,ENSG00000134250
NA,NA,ENSG00000134250
ENSG00000227082|ENSG00000231429,AL592494.5|RP11-343N15.2,NA
NA,NA,NA
ENSG00000230880,RP11-417J8.3,NA
ENSG00000232745,ANKRD20A14P,NA
ENSG00000232745,ANKRD20A14P,NA
NA,NA,NA
ENSG00000232336,RP11-782C8.3,NA
ENSG00000242569,RP11-435B5.3,NA
NA,NA,NA
NA,NA,NA
ENSG00000231734,RP6-206I17.2,ENSG00000236334
NA,NA,ENSG00000236334
NA,NA,ENSG00000236334
NA,NA,ENSG00000231360
NA,NA,ENSG00000178104
ENSG00000254913,RP4-791M13.5,ENSG00000178104
ENSG00000272755,RP11-326G21.1,ENSG00000178104
NA,NA,ENSG00000178104
NA,NA,ENSG00000198483
NA,NA,ENSG00000186141
NA,NA,ENSG00000117262
ENSG00000235702,WI2-925H4.1,ENSG00000117262
ENSG00000229828,RP11-94I2.1,ENSG00000152042
NA,NA,NA
NA,NA,ENSG00000116128
NA,NA,ENSG00000162836
ENSG00000234190,RP11-433J22.3,ENSG00000143140
ENSG00000227778,XXyac-YX155B6.2,ENSG00000203836
NA,NA,ENSG00000203836
ENSG00000232265,XXyac-YX155B6.5,ENSG00000203836
ENSG00000232265,XXyac-YX155B6.5,ENSG00000203836
NA,NA,ENSG00000203836
